trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-85.97827871862286,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-106.87347614021155,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-72.5697416813888,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-109.27084380440975,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-105.72881592538498,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,0,-216.24448929858414,"{0: 18, 1: 2, 2: 11, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-81.34709840867265,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,14,-85.2954642587639,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-66.09167481044496,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,3,-63.12930548689603,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,9,-22.875172837979104,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,12,-5.007530488410541,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,7.808118405056775,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-14.934487518162772,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-68.16034771820834,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,14,11.86009608062701,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,12,18.419811394387352,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,6.823622649928831,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,13,24.10897285464875,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,16,15.59248179509099,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,16,9.155662672900938,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-36.99568323247323,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,14,9.434029643589213,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,16,-19.063465820248172,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,21.14109911700498,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,9,14.716913016805282,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,7,-23.66112361019904,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,11,1.4787817459210961,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-4.6999984086961,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,14,21.692569458575917,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
