trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.0045, 'e': 0.9955101098295706}",30,0,-153.45650980395314,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.0045, 'e': 0.9910403787728836}",30,0,-83.27977850556405,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.0045, 'e': 0.9865907163177327}",25,0,-80.15169946376764,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.0045, 'e': 0.9821610323583008}",20,0,-33.529534792873925,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.0045, 'e': 0.9777512371933363}",20,0,-99.27374314854177,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.0045, 'e': 0.9733612415243368}",25,8,-48.89473592462339,"{0: 10, 1: 5, 2: 0, 3: 2, 4: 0}",1
7,False,"{'a': 0.0045, 'e': 0.9689909564537397}",25,0,-102.75570723980218,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.0045, 'e': 0.9646402934831231}",20,0,-172.99062274449733,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.0045, 'e': 0.960309164511413}",25,0,-32.628301767247926,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.0045, 'e': 0.9559974818331}",25,0,-105.17407238519971,"{0: 13, 1: 1, 2: 10, 3: 1, 4: 0}",0
11,False,"{'a': 0.0045, 'e': 0.9517051581364622}",30,0,-157.1411538218357,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
12,False,"{'a': 0.0045, 'e': 0.9474321065017983}",25,0,-82.92807662082714,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.0045, 'e': 0.9431782403996666}",25,0,-83.40062385563682,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
14,False,"{'a': 0.0045, 'e': 0.9389434736891332}",30,0,-113.32575271988651,"{0: 19, 1: 2, 2: 5, 3: 4, 4: 0}",0
15,False,"{'a': 0.0045, 'e': 0.9347277206160276}",20,4,-43.27708647534372,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
16,False,"{'a': 0.0045, 'e': 0.9305308958112057}",20,14,-1.219414680184172,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.0045, 'e': 0.9263529142888222}",20,11,-55.616813193601075,"{0: 4, 1: 0, 2: 4, 3: 1, 4: 0}",1
18,False,"{'a': 0.0045, 'e': 0.922193691444608}",25,3,-130.11528094407998,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 3}",1
19,False,"{'a': 0.0045, 'e': 0.9180531430541589}",30,0,-112.53699302073949,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.0045, 'e': 0.9139311852712282}",25,0,-173.14657828845066,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
21,False,"{'a': 0.0045, 'e': 0.90982773462603}",20,0,-97.08349872038814,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
22,False,"{'a': 0.0045, 'e': 0.9057427080235485}",20,0,-50.46869586379995,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.0045, 'e': 0.9016760227418554}",30,0,-169.83476149098246,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
24,False,"{'a': 0.0045, 'e': 0.8976275964304349}",20,0,-181.08521453720513,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 3}",0
25,False,"{'a': 0.0045, 'e': 0.8935973471085157}",20,0,-120.65442548030566,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.0045, 'e': 0.8895851931634113}",20,0,-94.42921940261033,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
27,False,"{'a': 0.0045, 'e': 0.8855910533488673}",30,5,-134.66075079567116,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",1
28,False,"{'a': 0.0045, 'e': 0.8816148467834161}",25,0,-132.18104790590633,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
29,False,"{'a': 0.0045, 'e': 0.8776564929487386}",30,0,-334.40459774483713,"{0: 11, 1: 4, 2: 7, 3: 3, 4: 5}",0
30,False,"{'a': 0.0045, 'e': 0.8737159116880344}",30,0,-90.95394419014093,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.0045, 'e': 0.8697930232043986}",25,0,-180.4237240990336,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
32,False,"{'a': 0.0045, 'e': 0.865887748059205}",30,0,-136.0118650887858,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
33,False,"{'a': 0.0045, 'e': 0.8620000071704987}",30,0,-130.50031765779556,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
34,False,"{'a': 0.0045, 'e': 0.8581297218113938}",20,16,8.426933370329587,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.0045, 'e': 0.8542768136084795}",25,0,-73.61138851081118,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
36,False,"{'a': 0.0045, 'e': 0.850441204540233}",25,0,-168.6711002547327,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
37,False,"{'a': 0.0045, 'e': 0.8466228169354396}",30,0,-119.34762774912956,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
