trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.56555413612634,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-205.61235565520386,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.50303990714217,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-69.08349633105814,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.74689699964586,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,1,-113.34130281481423,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-20.5842774344247,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.05023644081987,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.80070485589536,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,1,-185.03648825165936,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 3}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.550927569289614,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.28005576299375,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.35870633743372,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.7561185873969,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.31719782145531,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,10,-42.113002945328574,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.4648930466218,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,6,-71.92544878701352,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.07509949791674,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.3598536264205,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.084095932575416,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.23732313832146,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-138.8136933769012,"{0: 20, 1: 3, 2: 11, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-166.8872788821277,"{0: 11, 1: 2, 2: 9, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,6,-160.24310106864056,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.89202208394491,"{0: 18, 1: 5, 2: 0, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.80198300569691,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,9,-44.69694931553818,"{0: 5, 1: 1, 2: 5, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-90.49355164279588,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.7337902216544,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
